product_name,revenue,revenue_percentage
Electra Townie Go! 8i Ladies' - 2018,14143.945600000001,0.1839476030054452
Trek Remedy 7 27.5 - 2018,14069.953099999999,0.1829853012969756
Haro Flightline Two 26 Plus - 2017,14008.2453,0.1821827669676058
Trek Crockett 7 Disc - 2018,13679.954399999999,0.1779132140542023
Trek Domane ALR Frameset - 2018,13439.958,0.17479196601221778
Surly ECR 27.5 - 2018,13103.1,0.17041099457711775
Sun Bicycles Brickell Tandem CB - 2017,13045.268799999998,0.16965887696299678
Sun Bicycles Cruz 7 - Women's - 2017,12968.388999999997,0.16865902477680497
Trek Fuel EX 5 Plus - 2018,12824.943,0.16679345284893227
Sun Bicycles Streamway - 2017,12816.114099999997,0.16667862951475773
Sun Bicycles Cruz 3 - Women's - 2017,12622.219500000003,0.16415695360378005
Trek Lift+ - 2018,12403.955699999999,0.16131834661473307
Trek Precaliber 24 (21-Speed) - Girls - 2017,12179.652000000004,0.15840118833888028
Electra Townie 7D (20-inch) - Boys' - 2017,12079.844700000003,0.15710315495295965
Trek Emonda SL 7 - 2018,12059.973199999999,0.15684471824113266
Trek Remedy 9.8 27.5 - 2018,11999.976,0.15606443094088754
Trek Farley Alloy Frameset - 2017,11937.746,0.15525510519411506
Surly Straggler - 2018,11772.4,0.1531047151101389
Surly Krampus - 2018,11767.15,0.15303643678504564
Trek Domane ALR 5 Gravel - 2018,11681.935099999999,0.15192818332885663
Heller Shagamaw GX1 - 2018,11305.650000000001,0.14703444687446418
Trek Domane ALR 5 Disc - 2018,11141.9381,0.1449053089068756
Surly Troll Frameset - 2018,11074.9557,0.14403417631968918
Trek Domane SL 5 Disc - 2018,11074.955699999999,0.14403417631968918
Trek Emonda SL 6 Disc - 2018,10799.964,0.1404578005691071
Haro SR 1.1 - 2017,10740.401100000001,0.13968316151202156
Sun Bicycles Drifter 7 - 2017,10644.374,0.13843429112124714
Trek Domane SLR 6 Disc - 2018,10449.981,0.13590613332127385
Electra Cruiser Lux 1 - 2017,10432.1629,0.13567440188806534
Haro Flightline One ST - 2017,10430.725500000002,0.1356557079329246
Electra Savannah 3i (20-inch) - Girl's - 2017,10258.206900000001,0.1334120353509362
Trek Stache 5 - 2018,10063.9371,0.13088547981565843
Trek Domane SL 5 - 2018,10031.954399999999,0.1304695321608087
Sun Bicycles Drifter 7 - Women's - 2017,10027.377100000002,0.13041000256510407
Electra Townie Balloon 3i EQ Ladies' - 2018,9807.877400000001,0.1275553222080604
Trek Domane ALR 4 Disc Women's - 2018,9749.4371,0.12679528300768905
Electra Townie Go! 8i - 2017/2018,9723.962599999999,0.12646397706624354
Electra Townie Original 21D EQ - 2017/2018,9696.6574,0.12610886214770314
Electra Moto 3i (20-inch) - Boy's - 2017,9680.723399999999,0.1259016341796962
Trek Verve+ - 2018,9544.9585,0.12413595799332328
Trek Verve+ Lowstep - 2018,9429.959,0.12264034404159647
Surly Pack Rat - 2018,9335.08,0.12140640514511532
Electra Townie Commute 27D Ladies - 2018,9242.897299999999,0.12020753269586253
Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,9095.6968,0.11829313201150167
Heller Bloodhound Trail - 2018,8992.54,0.11695153705417151
Trek Domane SLR Frameset - 2018,8927.972099999999,0.11611180599383035
Electra Koa 3i Ladies' - 2018,8819.902,0.11470631162798957
Trek 1120 - 2018,8749.965,0.11379675329998018
Electra Straight 8 3i (20-inch) - Boy's - 2017,8638.523700000002,0.11234741514565283
Trek Domane SLR 6 - 2018,8499.983,0.11054563858312867
Haro Downtown 16 - 2017,8464.243500000002,0.11008083225938173
Surly Straggler 650b - 2018,8302.64,0.1079791148671506
Sun Bicycles Revolutions 24 - 2017,8011.6008,0.10419403503620002
Trek Fuel EX 7 29 - 2018,7999.968,0.10404274587426758
Trek Neko+ - 2018,7727.9724,0.10050533558841157
Electra Loft Go! 8i - 2018,7643.9727,0.09941288628853755
Electra Townie Balloon 7i EQ Ladies' - 2017/2018,7496.9167,0.09750036488379113
Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7447.255199999998,0.09685449744729199
Haro Shredder 20 Girls - 2017,7364.349300000001,0.09577627344874885
Trek Farley Carbon Frameset - 2018,7239.9276,0.09415812006184225
Haro Shredder 20 - 2017,7183.757900000002,0.09342761091193896
Trek Session DH 27.5 Carbon Frameset - 2017,6781.9557,0.08820201448626303
Electra Townie Commute 8D Ladies' - 2018,6649.905000000001,0.08648464293894945
Electra Townie Balloon 7i EQ - 2018,6497.9277999999995,0.08450811938306986
Electra Super Moto 8i - 2018,6443.928400000001,0.08380583584249035
Trek Domane SL 5 Disc Women's - 2018,6249.975,0.08128339521427155
Haro Shredder Pro 20 - 2017,6227.250900000002,0.08098785931193779
Trek Domane AL 3 Women's - 2018,6219.1324,0.08088227501055303
Trek Domane SL Frameset Women's - 2018,6174.9905,0.08030819215370819
Trek Boone 5 Disc - 2018,6038.981699999999,0.07853934395143236
Trek Ticket S Frame - 2018,5527.162399999999,0.07188293165535248
Sun Bicycles Revolutions 24 - Girl's - 2017,5436.443399999999,0.07070309520313571
Trek X-Caliber Frameset - 2018,5219.9652,0.06788771064785763
Trek Precaliber 12 Girls - 2017,5198.126400000003,0.0676036884219439
Surly ECR - 2018,5127.3,0.0666825630953939
Trek Precaliber 16 Boys - 2017,5113.2565,0.06649992182711818
Trek Precaliber 12 Boys - 2017,4972.038300000001,0.06466332331879647
Electra Townie Original 21D EQ Ladies' - 2018,4963.927000000001,0.06455783265625757
Electra Delivery 3i - 2016/2017/2018,4953.548400000001,0.06442285486105505
Electra Daydreamer 3i Ladies' - 2018,4949.945,0.06437599121979005
Electra Relic 3i - 2018,4844.943,0.06301039870713379
Trek Precaliber 16 Girls - 2017,4577.782,0.059535864305181777
Electra Townie Balloon 8D EQ - 2016/2017/2018,4567.4391000000005,0.0594013508025899
Trek Procaliber 6 - 2018,4553.974700000001,0.05922624095870684
Trek Crockett 5 Disc - 2018,4553.974700000001,0.05922624095870684
Trek Lift+ Lowstep - 2018,4479.9839999999995,0.05826396265994874
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,4424.941000000001,0.0575481066888802
Trek Powerfly 5 FS - 2018,4274.9905,0.05559794116756568
Trek Remedy 27.5 C Frameset - 2018,4199.972,0.05462229592356362
Electra Queen of Hearts 3i - 2018,4162.4445,0.05413423595309916
Trek Stache Carbon Frameset - 2018,4149.1548999999995,0.053961399452306824
Trek Procaliber Frameset - 2018,4139.9724,0.05384197741036985
Electra Tiger Shark 3i - 2018,4103.9544,0.053373549084044125
Trek CrossRip 1 - 2018,4089.5573999999997,0.05318631040854544
Trek Procal AL Frameset - 2018,4049.973,0.052671499640579204
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,4004.9555,0.05208602925964832
Trek X-Caliber 7 - 2018,3983.5567,0.051807729407647135
Trek Domane ALR 4 Disc - 2018,3921.4747,0.05100032845937255
Electra Cruiser Lux 1 Ladies' - 2018,3874.2099,0.05038563105368317
Electra Townie Balloon 3i EQ - 2017/2018,3847.4487,0.05003759107016193
Electra Townie Commute 8D - 2018,3772.4497,0.04906219943136735
Electra Townie Original 7D EQ Ladies' - 2017/2018,3683.9386,0.047911077591336004
Trek Marlin 5 - 2018,3498.5286,0.04549974725694617
Electra Cruiser Lux 3i - 2018,3455.5348,0.044940595894394586
Electra White Water 3i - 2018,3412.4545,0.04438031956515336
Trek Domane AL 2 Women's - 2018,3382.4548999999997,0.04399016290963553
Trek Powerfly 5 - 2018,3254.9906999999994,0.04233244060766297
Trek Boy's Kickster - 2015/2017,3236.7842,0.042095657878937084
Trek Girl's Kickster - 2017,3193.2870999999996,0.04152996090095321
Electra Straight 8 3i - 2018,3121.2657,0.0405932941270725
Electra Amsterdam Royal 8i Ladies - 2018,3035.9746999999998,0.039484050960304565
Trek Madone 9 Frameset - 2018,2975.9906999999994,0.03870393533127678
Surly Big Fat Dummy Frameset - 2018,2928.0377,0.038080287612572324
"Electra Treasure 1 20"" - 2018",2835.1114,0.03687174435140728
Electra Moto 3i - 2018,2771.1567,0.036039988199437045
Electra Townie Original 21D Ladies' - 2018,2637.5528999999997,0.034302417972751575
Trek Domane AL 2 - 2018,2624.965,0.034138707357810286
Trek Domane AL 3 - 2018,2585.1719,0.03362118236385414
Trek Domane SLR Disc Frameset - 2018,2559.992,0.033293707811851
Trek X-Caliber 8 - 2018,2499.9750000000004,0.032513163004779785
Sun Bicycles Lil Kitt'n - 2017,2328.4882999999995,0.03028291069015592
Strider Strider 20 Sport - 2018,2305.4205,0.0299829048334727
Trek Kids' Neko - 2018,2213.6529,0.02878943092379063
Electra Cruiser Lux 1 - 2016/2018,2175.7494,0.028296480924709974
Surly Pack Rat Frameset - 2018,2143.1544,0.027872570066345068
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,2102.3342999999995,0.027341688531461152
Trek Marlin 7 - 2017/2018,2069.9723999999997,0.02692080923073039
Electra Townie Original 1 - 2018,2069.9539999999997,0.026920569931457684
Electra Morningstar 3i Ladies' - 2018,2009.9732,0.02614049591969473
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,2001.9285,0.026035871416479877
"Electra Under-The-Sea 1 16"" - 2018",1987.929,0.025853802385595405
Electra Heartchya 1 (20-inch) - Girl's - 2018,1929.5396999999998,0.025094426460382156
Electra Cruiser Lux 3i Ladies' - 2018,1854.9650000000001,0.024124553010794643
Electra Townie Original 3i EQ - 2017/2018,1834.7721999999999,0.023861937665472018
Electra Cruiser Lux 7D - 2018,1823.962,0.023721346741677075
Electra Townie Original 3i EQ Ladies' - 2018,1811.1716999999999,0.023555003834735987
Electra Cruiser Lux Fat Tire 7D - 2018,1811.1716999999999,0.023555003834735987
Electra Tiger Shark 1 (20-inch) - Boys' - 2018,1804.7435999999998,0.023471403853491765
Trek Domane SL 5 Women's - 2018,1759.992,0.022889391607159425
Electra Sweet Ride 3i (20-inch) - Girls' - 2018,1701.954,0.02213458447729956
Electra Cruiser 1 - 2016/2017/2018,1682.0376999999999,0.021875565123765185
Electra Townie Commute 27D - 2018,1646.9816999999998,0.0214196479876756
Electra Townie Original 1 Ladies' - 2018,1574.9650000000001,0.020483042339152588
Trek Precaliber 16 Girl's - 2018,1511.9279999999999,0.01966322123840866
Electra Cruiser 1 Ladies' - 2018,1482.2451,0.01927718339156836
Trek Marlin 6 - 2018,1467.3746999999998,0.01908378796195555
Trek 820 - 2018,1379.3636999999999,0.017939170120091663
Electra Water Lily 1 (16-inch) - Girl's - 2018,1315.953,0.01711448890314062
"Electra Starship 1 16"" - 2018",1212.3567,0.015767178074595507
Trek CrossRip 2 - 2018,1208.9906999999998,0.015723401914164267
Strider Sport 16 - 2018,1157.4537,0.01505314285886278
Trek Kickster - 2018,1151.928,0.014981278946297453
Electra Amsterdam Royal 8i - 2017/2018,1133.91,0.014746947734577284
Trek Precaliber 24 (7-Speed) - Boys - 2018,1129.5647,0.014690435390571976
Trek Precaliber 12 Boy's - 2018,1061.9469,0.013811039175239983
Trek Domane ALR 3 - 2018,1022.9907,0.013304398396573474
Electra Townie Original 7D EQ - 2018,1019.983,0.01326528206926241
Trek Precaliber 20 Girl's - 2018,1011.956,0.013160887761543588
Electra Townie Original 21D - 2018,968.7827,0.012599401930543574
Electra Cruiser 7D Tall - 2016/2018,873.5727,0.011361158248232719
Strider Classic 12 Balance Bike - 2018,857.6047,0.011153488096787073
Trek Precaliber 20 Boy's - 2018,781.9660000000001,0.01016977690664732
Electra Cruiser Lux 7D Ladies' - 2018,767.984,0.009987935470179822
Surly ECR Frameset - 2018,712.4905,0.009266220568548506
Trek Precaliber 24 21-speed Girl's - 2018,665.9820000000001,0.008661359143291135
Trek Precaliber 24 21-speed Boy's - 2018,640.0826999999999,0.008324528509940922
"Electra Superbolt 1 20"" - 2018",607.981,0.007907033213055737
Electra Cruiser 7D Ladies' - 2016/2018,591.9815000000001,0.007698953391659534
Trek Precaliber 20 6-speed Boy's - 2018,492.98300000000006,0.0064114387694218355
Trek Superfly 24 - 2017/2018,465.4905,0.006053887940349981
Electra Straight 8 1 (20-inch) - Boy's - 2018,362.6907,0.004716935909126164
Trek Superfly 20 - 2018,359.99100000000004,0.004681825243553908
"Electra Superbolt 3i 20"" - 2018",351.4905,0.004571272881181431
Electra Tiger Shark 3i (20-inch) - Boys' - 2018,332.99100000000004,0.004330679571645567
Electra Cruiser 7D - 2016/2017/2018,303.9905,0.0039535166065278685
"Electra Treasure 3i 20"" - 2018",295.992,0.003849492952573837
Trek Precaliber 20 6-speed Girl's - 2018,269.6907,0.0035074341503307685
Electra Straight 8 1 (16-inch) - Boy's - 2018,265.9905,0.0034593115868050187
Trek Precaliber 24 7-speed Girl's - 2018,255.99200000000002,0.0033292771423392583
Electra Cruiser 1 Tall - 2016/2018,242.991,0.003160193998617764
Trek MT 201 - 2018,224.991,0.0029260968840122033
Electra Soft Serve 1 (16-inch) - Girl's - 2018,223.99200000000002,0.002913104494151595
Trek Precaliber 16 Boy's - 2018,199.4905,0.0025944528022900314
